Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Demo cases for browser actions,Chrome 109.0.0.0,,,2023-02-03 16:06:42,2023-02-03 16:07:42,59.969s,PASSED
,,,,,,,
Test Cases/Browser Operations in Katalon/TC_001 -Basic browser operations,Chrome 109.0.0.0,,,2023-02-03 16:06:42,2023-02-03 16:07:08,25.445s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 109.0.0.0,,,2023-02-03 16:06:43,2023-02-03 16:06:50,7.720s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-03 16:06:50,2023-02-03 16:06:51,0.224s,PASSED
delay(3),Chrome 109.0.0.0,,,2023-02-03 16:06:51,2023-02-03 16:06:54,3.037s,PASSED
refresh(),Chrome 109.0.0.0,,,2023-02-03 16:06:54,2023-02-03 16:06:54,0.452s,PASSED
delay(3),Chrome 109.0.0.0,,,2023-02-03 16:06:54,2023-02-03 16:06:57,3.021s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 109.0.0.0,,,2023-02-03 16:06:57,2023-02-03 16:06:58,1.174s,PASSED
delay(3),Chrome 109.0.0.0,,,2023-02-03 16:06:58,2023-02-03 16:07:01,3.016s,PASSED
back(),Chrome 109.0.0.0,,,2023-02-03 16:07:01,2023-02-03 16:07:02,0.405s,PASSED
delay(3),Chrome 109.0.0.0,,,2023-02-03 16:07:02,2023-02-03 16:07:05,3.012s,PASSED
forward(),Chrome 109.0.0.0,,,2023-02-03 16:07:05,2023-02-03 16:07:05,0.407s,PASSED
delay(2),Chrome 109.0.0.0,,,2023-02-03 16:07:05,2023-02-03 16:07:07,2.012s,PASSED
closeBrowser(),Chrome 109.0.0.0,,,2023-02-03 16:07:07,2023-02-03 16:07:08,0.698s,PASSED
,,,,,,,
Test Cases/Browser Operations in Katalon/TC_002 - Advanced browser operations,Chrome 109.0.0.0,,,2023-02-03 16:07:08,2023-02-03 16:07:28,19.732s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 109.0.0.0,,,2023-02-03 16:07:08,2023-02-03 16:07:13,4.639s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-03 16:07:13,2023-02-03 16:07:13,0.154s,PASSED
getWindowTitle(),Chrome 109.0.0.0,,,2023-02-03 16:07:13,2023-02-03 16:07:13,0.067s,PASSED
print(getWindowTitle()),Chrome 109.0.0.0,,,2023-02-03 16:07:13,2023-02-03 16:07:13,0.018s,PASSED
getUrl(),Chrome 109.0.0.0,,,2023-02-03 16:07:13,2023-02-03 16:07:13,0.016s,PASSED
getWindowIndex(),Chrome 109.0.0.0,,,2023-02-03 16:07:13,2023-02-03 16:07:13,0.024s,PASSED
currentTab = getWindowIndex(),Chrome 109.0.0.0,,,2023-02-03 16:07:13,2023-02-03 16:07:13,0.011s,PASSED
driver = getWebDriver(),Chrome 109.0.0.0,,,2023-02-03 16:07:13,2023-02-03 16:07:13,0.010s,PASSED
js = driver,Chrome 109.0.0.0,,,2023-02-03 16:07:13,2023-02-03 16:07:13,0.012s,PASSED
"js.executeScript(""window.open();"")",Chrome 109.0.0.0,,,2023-02-03 16:07:13,2023-02-03 16:07:13,0.063s,PASSED
switchToWindowIndex(currentTab + 1),Chrome 109.0.0.0,,,2023-02-03 16:07:13,2023-02-03 16:07:13,0.050s,PASSED
"navigateToUrl(""https://www.wikipedia.org/"")",Chrome 109.0.0.0,,,2023-02-03 16:07:13,2023-02-03 16:07:14,1.201s,PASSED
getWindowIndex(),Chrome 109.0.0.0,,,2023-02-03 16:07:14,2023-02-03 16:07:14,0.015s,PASSED
delay(3),Chrome 109.0.0.0,,,2023-02-03 16:07:14,2023-02-03 16:07:17,3.009s,PASSED
"switchToWindowTitle(""CURA Healthcare Service"")",Chrome 109.0.0.0,,,2023-02-03 16:07:17,2023-02-03 16:07:18,0.181s,PASSED
