Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Demo cases for browser actions,Chrome 109.0.0.0,,,2023-02-02 18:38:18,2023-02-02 18:39:15,56.960s,PASSED
,,,,,,,
Test Cases/Browser Operations in Katalon/TC_001 -Basic browser operations,Chrome 109.0.0.0,,,2023-02-02 18:38:19,2023-02-02 18:38:43,23.973s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 109.0.0.0,,,2023-02-02 18:38:19,2023-02-02 18:38:25,6.243s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-02 18:38:25,2023-02-02 18:38:25,0.191s,PASSED
delay(3),Chrome 109.0.0.0,,,2023-02-02 18:38:25,2023-02-02 18:38:28,3.085s,PASSED
refresh(),Chrome 109.0.0.0,,,2023-02-02 18:38:28,2023-02-02 18:38:29,0.487s,PASSED
delay(3),Chrome 109.0.0.0,,,2023-02-02 18:38:29,2023-02-02 18:38:32,3.016s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 109.0.0.0,,,2023-02-02 18:38:32,2023-02-02 18:38:33,1.095s,PASSED
delay(3),Chrome 109.0.0.0,,,2023-02-02 18:38:33,2023-02-02 18:38:36,3.019s,PASSED
back(),Chrome 109.0.0.0,,,2023-02-02 18:38:36,2023-02-02 18:38:36,0.393s,PASSED
delay(3),Chrome 109.0.0.0,,,2023-02-02 18:38:36,2023-02-02 18:38:39,3.010s,PASSED
forward(),Chrome 109.0.0.0,,,2023-02-02 18:38:39,2023-02-02 18:38:40,0.444s,PASSED
delay(2),Chrome 109.0.0.0,,,2023-02-02 18:38:40,2023-02-02 18:38:42,2.020s,PASSED
closeBrowser(),Chrome 109.0.0.0,,,2023-02-02 18:38:42,2023-02-02 18:38:43,0.730s,PASSED
,,,,,,,
Test Cases/Browser Operations in Katalon/TC_002 - Advanced browser operations,Chrome 109.0.0.0,,,2023-02-02 18:38:43,2023-02-02 18:39:02,19.050s,PASSED
