Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Browser Actions,Chrome 110.0.0.0,,,2023-03-01 17:06:24,2023-03-01 17:06:43,19.250s,PASSED
,,,,,,,
Test Cases/Browser Operations in Katalon/Advance browser operations,Chrome 110.0.0.0,,,2023-03-01 17:06:24,2023-03-01 17:06:43,19.036s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 110.0.0.0,,,2023-03-01 17:06:25,2023-03-01 17:06:31,6.051s,PASSED
maximizeWindow(),Chrome 110.0.0.0,,,2023-03-01 17:06:31,2023-03-01 17:06:31,0.171s,PASSED
print(getUrl()),Chrome 110.0.0.0,,,2023-03-01 17:06:31,2023-03-01 17:06:31,0.036s,PASSED
getWindowTitle(),Chrome 110.0.0.0,,,2023-03-01 17:06:31,2023-03-01 17:06:31,0.027s,PASSED
print(getWindowTitle()),Chrome 110.0.0.0,,,2023-03-01 17:06:31,2023-03-01 17:06:31,0.026s,PASSED
currentTab = getWindowIndex(),Chrome 110.0.0.0,,,2023-03-01 17:06:31,2023-03-01 17:06:31,0.031s,PASSED
driver = getWebDriver(),Chrome 110.0.0.0,,,2023-03-01 17:06:31,2023-03-01 17:06:31,0.012s,PASSED
js = driver,Chrome 110.0.0.0,,,2023-03-01 17:06:31,2023-03-01 17:06:31,0.012s,PASSED
"js.executeScript(""window.open();"")",Chrome 110.0.0.0,,,2023-03-01 17:06:31,2023-03-01 17:06:31,0.045s,PASSED
switchToWindowIndex(currentTab + 1),Chrome 110.0.0.0,,,2023-03-01 17:06:31,2023-03-01 17:06:31,0.052s,PASSED
"navigateToUrl(""https://www.wikipedia.org/"")",Chrome 110.0.0.0,,,2023-03-01 17:06:31,2023-03-01 17:06:33,1.415s,PASSED
"takeScreenshotAsCheckpoint(""wikipedia page"")",Chrome 110.0.0.0,,,2023-03-01 17:06:33,2023-03-01 17:06:34,1.176s,PASSED
getWindowTitle(),Chrome 110.0.0.0,,,2023-03-01 17:06:34,2023-03-01 17:06:34,0.016s,PASSED
getUrl(),Chrome 110.0.0.0,,,2023-03-01 17:06:34,2023-03-01 17:06:34,0.016s,PASSED
switchToWindowIndex(currentTab),Chrome 110.0.0.0,,,2023-03-01 17:06:34,2023-03-01 17:06:34,0.046s,PASSED
delay(3),Chrome 110.0.0.0,,,2023-03-01 17:06:34,2023-03-01 17:06:37,3.033s,PASSED
"switchToWindowTitle(""Wikipedia"")",Chrome 110.0.0.0,,,2023-03-01 17:06:37,2023-03-01 17:06:37,0.141s,PASSED
delay(3),Chrome 110.0.0.0,,,2023-03-01 17:06:37,2023-03-01 17:06:40,3.014s,PASSED
"switchToWindowUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 110.0.0.0,,,2023-03-01 17:06:40,2023-03-01 17:06:40,0.142s,PASSED
"closeWindowTitle(""CURA Healthcare Service"")",Chrome 110.0.0.0,,,2023-03-01 17:06:40,2023-03-01 17:06:40,0.129s,PASSED
delay(3),Chrome 110.0.0.0,,,2023-03-01 17:06:40,2023-03-01 17:06:43,3.015s,PASSED
"closeWindowUrl(""https://www.wikipedia.org/"")",Chrome 110.0.0.0,,,2023-03-01 17:06:43,2023-03-01 17:06:43,0.208s,PASSED
