Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Browser Actions,Chrome 109.0.0.0,,,2023-02-02 19:03:30,2023-02-02 19:04:40,1m - 10.899s,PASSED
,,,,,,,
Test Cases/Browser Operations in Katalon/Advance browser operations,Chrome 109.0.0.0,,,2023-02-02 19:03:30,2023-02-02 19:03:58,27.653s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 109.0.0.0,,,2023-02-02 19:03:30,2023-02-02 19:03:43,12.491s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-02 19:03:43,2023-02-02 19:03:43,0.293s,PASSED
print(getUrl()),Chrome 109.0.0.0,,,2023-02-02 19:03:43,2023-02-02 19:03:43,0.097s,PASSED
getWindowTitle(),Chrome 109.0.0.0,,,2023-02-02 19:03:43,2023-02-02 19:03:43,0.066s,PASSED
print(getWindowTitle()),Chrome 109.0.0.0,,,2023-02-02 19:03:43,2023-02-02 19:03:43,0.036s,PASSED
currentTab = getWindowIndex(),Chrome 109.0.0.0,,,2023-02-02 19:03:43,2023-02-02 19:03:44,0.085s,PASSED
driver = getWebDriver(),Chrome 109.0.0.0,,,2023-02-02 19:03:44,2023-02-02 19:03:44,0.052s,PASSED
js = driver,Chrome 109.0.0.0,,,2023-02-02 19:03:44,2023-02-02 19:03:44,0.060s,PASSED
"js.executeScript(""window.open();"")",Chrome 109.0.0.0,,,2023-02-02 19:03:44,2023-02-02 19:03:44,0.117s,PASSED
switchToWindowIndex(currentTab + 1),Chrome 109.0.0.0,,,2023-02-02 19:03:44,2023-02-02 19:03:44,0.105s,PASSED
"navigateToUrl(""https://www.wikipedia.org/"")",Chrome 109.0.0.0,,,2023-02-02 19:03:44,2023-02-02 19:03:45,1.328s,PASSED
"takeScreenshotAsCheckpoint(""wikipedia page"")",Chrome 109.0.0.0,,,2023-02-02 19:03:45,2023-02-02 19:03:47,2.106s,PASSED
getWindowTitle(),Chrome 109.0.0.0,,,2023-02-02 19:03:47,2023-02-02 19:03:47,0.032s,PASSED
getUrl(),Chrome 109.0.0.0,,,2023-02-02 19:03:47,2023-02-02 19:03:47,0.031s,PASSED
switchToWindowIndex(currentTab),Chrome 109.0.0.0,,,2023-02-02 19:03:47,2023-02-02 19:03:47,0.083s,PASSED
delay(3),Chrome 109.0.0.0,,,2023-02-02 19:03:47,2023-02-02 19:03:51,3.122s,PASSED
"switchToWindowTitle(""Wikipedia"")",Chrome 109.0.0.0,,,2023-02-02 19:03:51,2023-02-02 19:03:51,0.201s,PASSED
delay(3),Chrome 109.0.0.0,,,2023-02-02 19:03:51,2023-02-02 19:03:54,3.021s,PASSED
"switchToWindowUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 109.0.0.0,,,2023-02-02 19:03:54,2023-02-02 19:03:54,0.278s,PASSED
"closeWindowTitle(""CURA Healthcare Service"")",Chrome 109.0.0.0,,,2023-02-02 19:03:54,2023-02-02 19:03:54,0.242s,PASSED
delay(3),Chrome 109.0.0.0,,,2023-02-02 19:03:54,2023-02-02 19:03:57,3.013s,PASSED
"closeWindowUrl(""https://www.wikipedia.org/"")",Chrome 109.0.0.0,,,2023-02-02 19:03:57,2023-02-02 19:03:58,0.215s,PASSED
,,,,,,,
Test Cases/Browser Operations in Katalon/Basic browser Operations,Chrome 109.0.0.0,"This test case deals with below operations 
Open
Navigate to url
Maximize browser
Refresh
Back
Forward
Delay
Close browser",,2023-02-02 19:03:58,2023-02-02 19:04:26,28.143s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-02-02 19:03:59,2023-02-02 19:04:01,2.143s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 109.0.0.0,,,2023-02-02 19:04:01,2023-02-02 19:04:04,3.232s,PASSED
delay(3),Chrome 109.0.0.0,,,2023-02-02 19:04:04,2023-02-02 19:04:07,3.013s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-02 19:04:07,2023-02-02 19:04:07,0.191s,PASSED
