Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Browser Actions,Edge Chromium 109,,,2023-01-20 11:29:41,2023-01-20 11:30:48,1m - 6.455s,PASSED
,,,,,,,
Test Cases/Browser Operations in Katalon/Advance browser operations,Edge Chromium 109,,,2023-01-20 11:29:42,2023-01-20 11:30:01,19.763s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com/"")",Edge Chromium 109,,,2023-01-20 11:29:42,2023-01-20 11:29:49,7.051s,PASSED
maximizeWindow(),Edge Chromium 109,,,2023-01-20 11:29:49,2023-01-20 11:29:49,0.281s,PASSED
print(getUrl()),Edge Chromium 109,,,2023-01-20 11:29:49,2023-01-20 11:29:49,0.097s,PASSED
getWindowTitle(),Edge Chromium 109,,,2023-01-20 11:29:49,2023-01-20 11:29:49,0.066s,PASSED
print(getWindowTitle()),Edge Chromium 109,,,2023-01-20 11:29:49,2023-01-20 11:29:50,0.034s,PASSED
currentTab = getWindowIndex(),Edge Chromium 109,,,2023-01-20 11:29:50,2023-01-20 11:29:50,0.092s,PASSED
driver = getWebDriver(),Edge Chromium 109,,,2023-01-20 11:29:50,2023-01-20 11:29:50,0.041s,PASSED
js = driver,Edge Chromium 109,,,2023-01-20 11:29:50,2023-01-20 11:29:50,0.058s,PASSED
"js.executeScript(""window.open();"")",Edge Chromium 109,,,2023-01-20 11:29:50,2023-01-20 11:29:50,0.155s,PASSED
switchToWindowIndex(currentTab + 1),Edge Chromium 109,,,2023-01-20 11:29:50,2023-01-20 11:29:50,0.095s,PASSED
"navigateToUrl(""https://www.wikipedia.org/"")",Edge Chromium 109,,,2023-01-20 11:29:50,2023-01-20 11:29:51,1.349s,PASSED
getWindowTitle(),Edge Chromium 109,,,2023-01-20 11:29:51,2023-01-20 11:29:51,0.028s,PASSED
getUrl(),Edge Chromium 109,,,2023-01-20 11:29:51,2023-01-20 11:29:51,0.031s,PASSED
switchToWindowIndex(currentTab),Edge Chromium 109,,,2023-01-20 11:29:51,2023-01-20 11:29:51,0.087s,PASSED
delay(3),Edge Chromium 109,,,2023-01-20 11:29:51,2023-01-20 11:29:55,3.109s,PASSED
"switchToWindowTitle(""Wikipedia"")",Edge Chromium 109,,,2023-01-20 11:29:55,2023-01-20 11:29:55,0.134s,PASSED
delay(3),Edge Chromium 109,,,2023-01-20 11:29:55,2023-01-20 11:29:58,3.007s,PASSED
"switchToWindowUrl(""https://katalon-demo-cura.herokuapp.com/"")",Edge Chromium 109,,,2023-01-20 11:29:58,2023-01-20 11:29:58,0.158s,PASSED
"closeWindowTitle(""CURA Healthcare Service"")",Edge Chromium 109,,,2023-01-20 11:29:58,2023-01-20 11:29:58,0.155s,PASSED
delay(3),Edge Chromium 109,,,2023-01-20 11:29:58,2023-01-20 11:30:01,3.006s,PASSED
"closeWindowUrl(""https://www.wikipedia.org/"")",Edge Chromium 109,,,2023-01-20 11:30:01,2023-01-20 11:30:01,0.247s,PASSED
,,,,,,,
Test Cases/Browser Operations in Katalon/Basic browser Operations,Edge Chromium 109,"This test case deals with below operations 
Open
Navigate to url
Maximize browser
Refresh
Back
Forward
Delay
Close browser",,2023-01-20 11:30:01,2023-01-20 11:30:28,26.944s,PASSED
"openBrowser("""")",Edge Chromium 109,,,2023-01-20 11:30:02,2023-01-20 11:30:04,2.148s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Edge Chromium 109,,,2023-01-20 11:30:04,2023-01-20 11:30:06,2.693s,PASSED
delay(3),Edge Chromium 109,,,2023-01-20 11:30:06,2023-01-20 11:30:10,3.017s,PASSED
maximizeWindow(),Edge Chromium 109,,,2023-01-20 11:30:10,2023-01-20 11:30:10,0.244s,PASSED
delay(3),Edge Chromium 109,,,2023-01-20 11:30:10,2023-01-20 11:30:13,3.020s,PASSED
refresh(),Edge Chromium 109,,,2023-01-20 11:30:13,2023-01-20 11:30:13,0.505s,PASSED
delay(3),Edge Chromium 109,,,2023-01-20 11:30:13,2023-01-20 11:30:16,3.010s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Edge Chromium 109,,,2023-01-20 11:30:16,2023-01-20 11:30:18,1.255s,PASSED
delay(3),Edge Chromium 109,,,2023-01-20 11:30:18,2023-01-20 11:30:21,3.008s,PASSED
back(),Edge Chromium 109,,,2023-01-20 11:30:21,2023-01-20 11:30:21,0.386s,PASSED
delay(3),Edge Chromium 109,,,2023-01-20 11:30:21,2023-01-20 11:30:24,3.019s,PASSED
forward(),Edge Chromium 109,,,2023-01-20 11:30:24,2023-01-20 11:30:24,0.346s,PASSED
delay(3),Edge Chromium 109,,,2023-01-20 11:30:24,2023-01-20 11:30:27,3.009s,PASSED
closeBrowser(),Edge Chromium 109,,,2023-01-20 11:30:27,2023-01-20 11:30:28,0.951s,PASSED
,,,,,,,
Test Cases/Browser Operations in Katalon/Assertions in Katalon,Edge Chromium 109,,,2023-01-20 11:30:28,2023-01-20 11:30:48,19.398s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com/"")",Edge Chromium 109,,,2023-01-20 11:30:29,2023-01-20 11:30:36,6.881s,PASSED
maximizeWindow(),Edge Chromium 109,,,2023-01-20 11:30:36,2023-01-20 11:30:36,0.213s,PASSED
title = getWindowTitle(),Edge Chromium 109,,,2023-01-20 11:30:36,2023-01-20 11:30:36,0.028s,PASSED
"verifyMatch(title, ""CURA Healthcare Service"", true)",Edge Chromium 109,,,2023-01-20 11:30:36,2023-01-20 11:30:36,0.037s,PASSED
"verifyElementPresent(findTestObject(""Page_CURA Healthcare Service/a_Make Appointment""), 2)",Edge Chromium 109,,,2023-01-20 11:30:36,2023-01-20 11:30:37,0.580s,PASSED
"verifyElementClickable(findTestObject(""Page_CURA Healthcare Service/a_Make Appointment""))",Edge Chromium 109,,,2023-01-20 11:30:37,2023-01-20 11:30:38,0.652s,PASSED
"verifyElementVisible(findTestObject(""Page_CURA Healthcare Service/Copyright Text""))",Edge Chromium 109,,,2023-01-20 11:30:38,2023-01-20 11:30:38,0.599s,PASSED
"verifyElementNotPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/Make appointment page heading""), 2)",Edge Chromium 109,,,2023-01-20 11:30:38,2023-01-20 11:30:39,0.972s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Make Appointment""))",Edge Chromium 109,,,2023-01-20 11:30:39,2023-01-20 11:30:40,1.215s,PASSED
"verifyTextPresent(""Please login to make appointment."", false)",Edge Chromium 109,,,2023-01-20 11:30:40,2023-01-20 11:30:41,0.456s,PASSED
delay(2),Edge Chromium 109,,,2023-01-20 11:30:41,2023-01-20 11:30:43,2.017s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Edge Chromium 109,,,2023-01-20 11:30:43,2023-01-20 11:30:44,1.038s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Password_password""), ""ThisIsNotAPassword"")",Edge Chromium 109,,,2023-01-20 11:30:44,2023-01-20 11:30:45,0.995s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Login""))",Edge Chromium 109,,,2023-01-20 11:30:45,2023-01-20 11:30:46,1.260s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/Make appointment page heading""), ""Make Appointment"")",Edge Chromium 109,,,2023-01-20 11:30:46,2023-01-20 11:30:47,0.563s,PASSED
closeBrowser(),Edge Chromium 109,,,2023-01-20 11:30:47,2023-01-20 11:30:48,0.876s,PASSED
