Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Browser Actions,Chrome 110.0.0.0,,,2023-03-02 16:08:59,2023-03-02 16:09:22,23.529s,PASSED
,,,,,,,
Test Cases/Browser Operations in Katalon/Advance browser operations,Chrome 110.0.0.0,,,2023-03-02 16:08:59,2023-03-02 16:09:22,23.198s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 110.0.0.0,,,2023-03-02 16:08:59,2023-03-02 16:09:08,8.344s,PASSED
maximizeWindow(),Chrome 110.0.0.0,,,2023-03-02 16:09:08,2023-03-02 16:09:08,0.196s,PASSED
print(getUrl()),Chrome 110.0.0.0,,,2023-03-02 16:09:08,2023-03-02 16:09:08,0.097s,PASSED
getWindowTitle(),Chrome 110.0.0.0,,,2023-03-02 16:09:08,2023-03-02 16:09:08,0.062s,PASSED
print(getWindowTitle()),Chrome 110.0.0.0,,,2023-03-02 16:09:08,2023-03-02 16:09:08,0.035s,PASSED
currentTab = getWindowIndex(),Chrome 110.0.0.0,,,2023-03-02 16:09:08,2023-03-02 16:09:08,0.070s,PASSED
driver = getWebDriver(),Chrome 110.0.0.0,,,2023-03-02 16:09:08,2023-03-02 16:09:08,0.025s,PASSED
js = driver,Chrome 110.0.0.0,,,2023-03-02 16:09:08,2023-03-02 16:09:08,0.029s,PASSED
"js.executeScript(""window.open();"")",Chrome 110.0.0.0,,,2023-03-02 16:09:08,2023-03-02 16:09:08,0.079s,PASSED
switchToWindowIndex(currentTab + 1),Chrome 110.0.0.0,,,2023-03-02 16:09:08,2023-03-02 16:09:08,0.090s,PASSED
"navigateToUrl(""https://www.wikipedia.org/"")",Chrome 110.0.0.0,,,2023-03-02 16:09:08,2023-03-02 16:09:10,1.614s,PASSED
"takeScreenshotAsCheckpoint(""wikipedia page"")",Chrome 110.0.0.0,,,2023-03-02 16:09:10,2023-03-02 16:09:12,2.288s,PASSED
getWindowTitle(),Chrome 110.0.0.0,,,2023-03-02 16:09:12,2023-03-02 16:09:12,0.034s,PASSED
getUrl(),Chrome 110.0.0.0,,,2023-03-02 16:09:12,2023-03-02 16:09:12,0.030s,PASSED
switchToWindowIndex(currentTab),Chrome 110.0.0.0,,,2023-03-02 16:09:12,2023-03-02 16:09:12,0.086s,PASSED
delay(3),Chrome 110.0.0.0,,,2023-03-02 16:09:12,2023-03-02 16:09:15,3.066s,PASSED
"switchToWindowTitle(""Wikipedia"")",Chrome 110.0.0.0,,,2023-03-02 16:09:15,2023-03-02 16:09:16,0.161s,PASSED
delay(3),Chrome 110.0.0.0,,,2023-03-02 16:09:16,2023-03-02 16:09:19,3.009s,PASSED
"switchToWindowUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 110.0.0.0,,,2023-03-02 16:09:19,2023-03-02 16:09:19,0.130s,PASSED
"closeWindowTitle(""CURA Healthcare Service"")",Chrome 110.0.0.0,,,2023-03-02 16:09:19,2023-03-02 16:09:19,0.124s,PASSED
delay(3),Chrome 110.0.0.0,,,2023-03-02 16:09:19,2023-03-02 16:09:22,3.011s,PASSED
"closeWindowUrl(""https://www.wikipedia.org/"")",Chrome 110.0.0.0,,,2023-03-02 16:09:22,2023-03-02 16:09:22,0.269s,PASSED
