Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Browser Actions,Edge Chromium 109,,,2023-02-02 19:03:34,2023-02-02 19:03:59,24.546s,PASSED
,,,,,,,
Test Cases/Browser Operations in Katalon/Advance browser operations,Edge Chromium 109,,,2023-02-02 19:03:35,2023-02-02 19:03:59,24.167s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com/"")",Edge Chromium 109,,,2023-02-02 19:03:35,2023-02-02 19:03:45,9.778s,PASSED
maximizeWindow(),Edge Chromium 109,,,2023-02-02 19:03:45,2023-02-02 19:03:45,0.245s,PASSED
print(getUrl()),Edge Chromium 109,,,2023-02-02 19:03:45,2023-02-02 19:03:45,0.108s,PASSED
getWindowTitle(),Edge Chromium 109,,,2023-02-02 19:03:45,2023-02-02 19:03:45,0.068s,PASSED
print(getWindowTitle()),Edge Chromium 109,,,2023-02-02 19:03:45,2023-02-02 19:03:45,0.031s,PASSED
currentTab = getWindowIndex(),Edge Chromium 109,,,2023-02-02 19:03:45,2023-02-02 19:03:45,0.082s,PASSED
driver = getWebDriver(),Edge Chromium 109,,,2023-02-02 19:03:45,2023-02-02 19:03:45,0.042s,PASSED
js = driver,Edge Chromium 109,,,2023-02-02 19:03:45,2023-02-02 19:03:46,0.059s,PASSED
"js.executeScript(""window.open();"")",Edge Chromium 109,,,2023-02-02 19:03:46,2023-02-02 19:03:46,0.100s,PASSED
switchToWindowIndex(currentTab + 1),Edge Chromium 109,,,2023-02-02 19:03:46,2023-02-02 19:03:46,0.094s,PASSED
"navigateToUrl(""https://www.wikipedia.org/"")",Edge Chromium 109,,,2023-02-02 19:03:46,2023-02-02 19:03:47,1.120s,PASSED
"takeScreenshotAsCheckpoint(""wikipedia page"")",Edge Chromium 109,,,2023-02-02 19:03:47,2023-02-02 19:03:48,1.640s,PASSED
getWindowTitle(),Edge Chromium 109,,,2023-02-02 19:03:48,2023-02-02 19:03:49,0.035s,PASSED
getUrl(),Edge Chromium 109,,,2023-02-02 19:03:49,2023-02-02 19:03:49,0.034s,PASSED
switchToWindowIndex(currentTab),Edge Chromium 109,,,2023-02-02 19:03:49,2023-02-02 19:03:49,0.123s,PASSED
delay(3),Edge Chromium 109,,,2023-02-02 19:03:49,2023-02-02 19:03:52,3.108s,PASSED
"switchToWindowTitle(""Wikipedia"")",Edge Chromium 109,,,2023-02-02 19:03:52,2023-02-02 19:03:52,0.368s,PASSED
delay(3),Edge Chromium 109,,,2023-02-02 19:03:52,2023-02-02 19:03:55,3.020s,PASSED
"switchToWindowUrl(""https://katalon-demo-cura.herokuapp.com/"")",Edge Chromium 109,,,2023-02-02 19:03:55,2023-02-02 19:03:55,0.180s,PASSED
"closeWindowTitle(""CURA Healthcare Service"")",Edge Chromium 109,,,2023-02-02 19:03:55,2023-02-02 19:03:56,0.140s,PASSED
delay(3),Edge Chromium 109,,,2023-02-02 19:03:56,2023-02-02 19:03:59,3.021s,PASSED
"closeWindowUrl(""https://www.wikipedia.org/"")",Edge Chromium 109,,,2023-02-02 19:03:59,2023-02-02 19:03:59,0.253s,PASSED
