Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Browser Actions,Edge Chromium 109,,,2023-02-02 18:42:33,2023-02-02 18:43:34,1m - 0.808s,PASSED
,,,,,,,
Test Cases/Browser Operations in Katalon/Advance browser operations,Edge Chromium 109,,,2023-02-02 18:42:33,2023-02-02 18:42:52,19.149s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com/"")",Edge Chromium 109,,,2023-02-02 18:42:33,2023-02-02 18:42:41,7.316s,PASSED
maximizeWindow(),Edge Chromium 109,,,2023-02-02 18:42:41,2023-02-02 18:42:41,0.215s,PASSED
print(getUrl()),Edge Chromium 109,,,2023-02-02 18:42:41,2023-02-02 18:42:41,0.071s,PASSED
getWindowTitle(),Edge Chromium 109,,,2023-02-02 18:42:41,2023-02-02 18:42:41,0.064s,PASSED
print(getWindowTitle()),Edge Chromium 109,,,2023-02-02 18:42:41,2023-02-02 18:42:41,0.039s,PASSED
currentTab = getWindowIndex(),Edge Chromium 109,,,2023-02-02 18:42:41,2023-02-02 18:42:41,0.073s,PASSED
driver = getWebDriver(),Edge Chromium 109,,,2023-02-02 18:42:41,2023-02-02 18:42:41,0.021s,PASSED
js = driver,Edge Chromium 109,,,2023-02-02 18:42:41,2023-02-02 18:42:41,0.026s,PASSED
"js.executeScript(""window.open();"")",Edge Chromium 109,,,2023-02-02 18:42:41,2023-02-02 18:42:41,0.071s,PASSED
switchToWindowIndex(currentTab + 1),Edge Chromium 109,,,2023-02-02 18:42:41,2023-02-02 18:42:41,0.073s,PASSED
"navigateToUrl(""https://www.wikipedia.org/"")",Edge Chromium 109,,,2023-02-02 18:42:41,2023-02-02 18:42:42,0.980s,PASSED
getWindowTitle(),Edge Chromium 109,,,2023-02-02 18:42:42,2023-02-02 18:42:42,0.022s,PASSED
getUrl(),Edge Chromium 109,,,2023-02-02 18:42:42,2023-02-02 18:42:42,0.028s,PASSED
switchToWindowIndex(currentTab),Edge Chromium 109,,,2023-02-02 18:42:42,2023-02-02 18:42:42,0.065s,PASSED
delay(3),Edge Chromium 109,,,2023-02-02 18:42:42,2023-02-02 18:42:46,3.053s,PASSED
"switchToWindowTitle(""Wikipedia"")",Edge Chromium 109,,,2023-02-02 18:42:46,2023-02-02 18:42:46,0.195s,PASSED
delay(3),Edge Chromium 109,,,2023-02-02 18:42:46,2023-02-02 18:42:49,3.008s,PASSED
"switchToWindowUrl(""https://katalon-demo-cura.herokuapp.com/"")",Edge Chromium 109,,,2023-02-02 18:42:49,2023-02-02 18:42:49,0.165s,PASSED
"closeWindowTitle(""CURA Healthcare Service"")",Edge Chromium 109,,,2023-02-02 18:42:49,2023-02-02 18:42:49,0.137s,PASSED
delay(3),Edge Chromium 109,,,2023-02-02 18:42:49,2023-02-02 18:42:52,3.013s,PASSED
